actual_price,model_price
1290,-1497.26
3500,4836.31
4850,7547.06
1495,602.925
4995,4921.84
1590,2470.07
12745,11960.9
5490,5733.09
13500,13628.1
33990,26475.5
21690,19010.5
13500,18808.2
4100,5047.65
6299,7061.32
850,2503.41
1595,3229.79
4795,5646.68
1400,3219.53
17000,17078.9
2050,196.914
3995,4449.47
5495,6667.59
3200,4072.7
14995,13640.8
7890,9751.05
9495,11646.2
1390,1218.64
6695,7053.23
13550,18873.9
19495,19910.2
10448,10338.7
7495,6641.03
475,803.163
8275,8451.3
3950,4283.63
7991,7707.57
6250,7618.1
2000,2843.96
20178,16406
17242,19814.3
2499,3972.23
20980,18674
2595,812.032
8610,8849.29
17990,17683.3
10490,11681
4190,5095.7
17995,17560.7
3490,3550.36
12411,11951.4
10000,11412.2
9750,8635.65
5690,5552.27
6995,7948.69
644,-630.19
7790,7553.62
2795,3007.93
3295,5954.17
8695,8239.88
2399,4085.63
6377,7635.78
8695,8224.14
3099,3631.33
1745,658.616
3375,289.71
7995,9516.02
2395,4414.86
4790,4261.25
4950,5591.79
18790,18651.4
10290,10601.5
6999,8486.87
11195,16104.2
13450,19327.1
2195,2083.74
1500,-148.469
2495,2286.14
11599,16106.7
2975,4599.52
9500,11860.9
27490,25340.4
1095,1116.61
5450,5786.88
18489,17683.3
4495,5128.73
15995,17532.5
2295,3393.62
6890,7084.01
2000,2294.47
5690,9116.11
2650,1283.03
5995,6245.35
11876,15095.7
2290,2221.02
5995,8203.65
15980,19241.1
8795,9287.67
24995,20632.9
5900,6561.44
665,-4615.23
5795,5777.18
1695,114.52
1450,384.122
8355,8314.85
18500,19759
12990,16557
6000,6637.51
15298,18829.2
12290,11739.5
2195,3080.06
3990,3538.09
2149,979.872
8000,7845.57
5250,5232.79
1750,1268.43
2950,2346.06
5990,6243.69
16495,17636.8
2000,1921.06
13533,12606.5
3994,6623.34
20290,18307.9
1400,3081.85
18990,17648.2
995,728.199
2999,3628.74
3995,4242.88
999,1997.29
8000,8948.07
600,-318.614
15650,18960.7
3295,4411.68
17790,20142.2
8799,9615.33
8750,11705.8
10000,9630.2
850,-397.847
16351,19236.7
4650,4416.12
1795,3798.41
17250,18095.7
1490,2465.02
7650,6565.42
7495,9213.79
2395,-216396
5895,5175.5
7650,7520.91
15500,17417.4
1650,1199.99
3495,5436
2999,5930.04
1699,862.676
10594,9781.98
1295,-1875.52
1275,1313.84
8490,8934.96
3990,3549.76
5900,8579.2
15898,15299
18990,17683.1
3500,4108.31
11790,11885.1
2495,4436.84
2995,3242.72
4995,9075.34
8990,9187.71
16990,17551.5
9500,8987.97
12889,12483.2
